trade_id,base_trade_id,entry_model_key,entry_family,ob_id,direction,structure_tag,detection_time,fill_time,fill_session,exit_time,outcome,entry,stop,tp,risk,rr_multiple,pnl_r,gross_r,spread_cost_r,slippage_cost_r,commission_r,total_cost_r,net_r,fill_candle_open,fill_candle_high,fill_candle_low,fill_candle_close,fill_candle_index,exit_candle_index,bars_to_exit,minutes_to_exit,same_candle_exit,max_ob_penetration_price,max_ob_penetration_pct,max_ob_penetration_pips,ob_fully_breached,fill_penetration_pct,fill_penetration_pips,entry_depth_pct,ob_entry_depth_pct,effective_entry_depth_pct,original_edge_entry,adjusted_entry,max_distance_away_before_fill_price,max_distance_away_before_fill_pips,max_distance_away_before_fill_r,stop_buffer,stop_buffer_pips,rr_config,protection_mode,protection_threshold_pct,protection_exit_reason,protection_exit_price,protection_trigger_time,protection_trigger_penetration_pct,close_confirmed_ob_breach,close_breach_time,close_breach_price,close_breach_distance_pips,close_breach_distance_pct,close_breach_session,close_breach_hour,entry_model,entry_threshold_pct,planned_entry_price,actual_entry_price,entry_model_filled,trigger_penetration_pct,trigger_time,trigger_candle_index,armed_at,armed_on_trigger_candle,armed_same_candle,filled_on_trigger_candle,same_candle_entry_allowed,fill_delay_candles,entry_level_pct,edge_revisit_time,trigger_to_entry_minutes,cancelled_before_entry,cancel_reason,tapped_before_trigger,tapped_time,tapped_candle_index,retrace_cancel_time,retrace_cancel_distance_pips,missed_trade,missed_reason,bars_to_fill,minutes_to_fill,news_blackout,news_blackout_trigger_time,news_blackout_event_time,news_blackout_currency,news_blackout_impact,news_blackout_event,news_blackout_window_start,news_blackout_window_end,news_blackout_minutes_from_event,news_action,paused_reason,paused_at,paused_window_start,paused_window_end,rearmed_at,blackout_event_time,blackout_currency,blackout_impact,news_touch_cancel_time,news_flatten_time,news_flatten_price,news_flatten_r,news_flatten_target_time,news_flatten_late,news_flatten_minutes_before_blackout,ob_origin_news_window,ob_detection_news_window,ob_origin_news_event,ob_detection_news_event,ob_origin_news_currency,ob_detection_news_currency,ob_origin_news_impact,ob_detection_news_impact,ob_origin_news_event_time,ob_detection_news_event_time,ob_origin_news_window_start,ob_origin_news_window_end,ob_detection_news_window_start,ob_detection_news_window_end,ob_origin_minutes_from_news,ob_detection_minutes_from_news,delay_candles_configured,arm_candle_index,exited_ob_before_arm,ob_occupied_at_arm,armed_after_ob_exit,ob_exit_candle_index,ob_exit_time,price_distance_from_ob_at_arm_pips,delay_window_min_price,delay_window_max_price,retraced_out_before_arm,fft_move_away_pips_at_cancel,mfe_r,mae_r,r_if_no_target,r_if_no_target_model,bookable_mfe_r,bookable_mfe_model,mae_r_to_original_exit,post_stop_mfe_r,post_stop_reached_original_tp,post_stop_bars_to_1r,post_stop_lookahead_bars,post_stop_model,ghost_candidate,ghost_trigger_reached,ghost_fill,ghost_outcome,ghost_r,ghost_mae,ghost_mfe,ghost_fill_delay_candles,ghost_fill_session,be_scenario_key,be_arm_level_r,be_trigger_basis,be_armed,be_arm_candle_index,be_arm_time,be_triggered,be_exit_reason,be_exit_r,be_exit_price,be_exit_time,be_exit_candle_index,risk_reduction_applied,risk_reduction_kind,risk_reduction_trigger_r,risk_reduction_stop_r,risk_reduction_source,stop_moved_to_r,stop_move_time,risk_amount,weighted_r,risk_amount_source,execution_trade_number,market_state,trend_state,volatility_state,chop_state,ema_value,ema_relation,px_vs_ema,bbw_value,bbw_threshold,adx_value,state_confirmed,state_known_at,shifted_days,source,version,regime_block_reason,portfolio_policy_version,portfolio_policy_regime,portfolio_decision_reason,portfolio_confidence,portfolio_status,portfolio_cohort_key,state_eligibility
S_4,S_4,entry_triggered_edge_25p0_d3,triggered_edge,4,bearish,BOS,2015-01-09 13:30:00+00:00,,,2015-01-09 13:30:00+00:00,INVALID,1.18099,1.18211,1.17875,0.0011200000000000099,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,8127,,,,,,,,,,0.0,0.0,0.0,1.18099,1.18099,0.00270999999999999,27.099999999999902,2.419642857142827,0.0001,1,2,baseline,,,,,,,,,,,,,triggered_edge,25,1.18099,,False,25,2015-01-09 13:30:00+00:00,8127,2015-01-09 13:30:00+00:00,True,True,,False,,0.0,,,True,invalidated_before_edge_entry,False,,,,,True,invalidated_before_fill,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2620920.0,-2620890.0,3,8130,False,,False,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,0.0,default,,,,,,,,,,,,,,,,,,2026-07-09.te-v1.2-surgical-disable,LABEL,unknown_cohort,,ENABLED,EURUSD|unknown|bos_short,
S_3,S_3,entry_triggered_edge_25p0_d3,triggered_edge,3,bearish,BOS,2015-01-08 08:45:00+00:00,2015-01-11 22:05:00+00:00,Outside,2015-01-11 22:31:00+00:00,LOSS,1.18471,1.18595,1.1822299999999997,0.0012400000000001299,2.0,-1.0483870967741884,-1.0,0.016129032258062826,0.03225806451612565,0.0,0.04838709677418848,-1.0483870967741884,1.18502,1.18504,1.18451,1.18477,8642,8668,26,26.0,False,0.0012499999999999734,109.64912280700165,12.499999999999734,True,28.947368421063395,3.300000000001635,0.0,0.0,0.0,1.18471,1.18471,0.009279999999999955,92.79999999999954,7.483870967741115,0.0001,1,2,baseline,,,,,,,,,,,,,triggered_edge,25,1.18471,1.18471,True,25,2015-01-11 22:02:00+00:00,8639,2015-01-11 22:02:00+00:00,True,True,False,False,3,0.0,2015-01-11 22:05:00+00:00,3.0,False,,True,2015-01-11 22:01:00+00:00,8638,,,False,,2240,5120.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2623395.0,-2622615.0,3,8642,False,True,False,,,0.0,1.18475,1.18532,False,,0.169355,-1.008065,-1.0,stop_anchored,0.169355,native_fill_rules,-1.008065,-0.790323,False,,50,fixed_horizon,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,-1.048387,default,,,,,,1.2073448707724612,below,-1.9286014573088495,,2.342,95.29205640114844,True,2015-01-11T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,HIGH,ENABLED,EURUSD|outside|bos_short,
L_5,L_5,entry_triggered_edge_25p0_d3,triggered_edge,5,bullish,CHoCH,2015-01-09 15:15:00+00:00,2015-01-13 13:05:00+00:00,New York,2015-01-13 13:43:00+00:00,LOSS,1.17859,1.1771800000000001,1.1814099999999998,0.0014099999999999113,2.0,-1.0425531914893644,-1.0,0.01418439716312146,0.02836879432624292,0.0,0.04255319148936438,-1.0425531914893644,1.17823,1.17863,1.17822,1.17863,10981,11019,38,38.0,False,0.0016400000000000858,125.19083969467046,16.40000000000086,True,28.244274809160565,3.6999999999998145,0.0,0.0,0.0,1.17859,1.17859,0.008489999999999887,84.89999999999885,6.021276595744979,0.0001,1,2,baseline,,,,,,,,,,,,,triggered_edge,25,1.17859,1.17859,True,25,2015-01-13 12:49:00+00:00,10965,2015-01-13 12:49:00+00:00,True,True,False,False,16,0.0,2015-01-13 13:05:00+00:00,16.0,False,,True,2015-01-13 12:34:00+00:00,10950,,,False,,2749,5630.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2620815.0,-2620785.0,3,10968,False,True,False,,,0.0,1.17756,1.17822,False,,0.560284,-1.163121,-1.0,stop_anchored,0.560284,native_fill_rules,-1.163121,-0.439716,False,,50,fixed_horizon,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,-1.042553,default,,,,,,1.2069037065285573,below,-1.965666887940412,,2.342,92.40764520485082,True,2015-01-13T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,HIGH,ENABLED,EURUSD|newYork|choch_long,
L_7,L_7,entry_triggered_edge_25p0_d3,triggered_edge,7,bullish,CHoCH,2015-01-14 07:30:00+00:00,,,2015-01-14 09:30:00+00:00,INVALID,1.1766,1.17578,1.1782400000000002,0.0008200000000000429,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12205,,,,,,,,,,0.0,0.0,0.0,1.1766,1.1766,0.0045199999999998575,45.199999999998575,5.512195121950757,0.0001,1,2,baseline,,,,,,,,,,,,,triggered_edge,25,1.1766,,False,25,2015-01-14 09:29:00+00:00,12204,2015-01-14 09:29:00+00:00,True,True,,False,,0.0,,,True,invalidated_before_edge_entry,True,2015-01-14 09:28:00+00:00,12203,,,True,invalidated_before_fill,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2614740.0,-2614050.0,3,12207,False,,False,,,,1.17582,1.17647,False,,,,,,,,,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,0.0,default,,,,,,,,,,,,,,,,,,2026-07-09.te-v1.2-surgical-disable,LABEL,unknown_cohort,,ENABLED,EURUSD|unknown|choch_long,
S_8,S_8,entry_triggered_edge_25p0_d3,triggered_edge,8,bearish,CHoCH,2015-01-14 09:30:00+00:00,,,2015-01-14 13:33:00+00:00,INVALID,1.17974,1.18122,1.1767800000000002,0.0014799999999999258,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,12448,,,,,,,,,,0.0,0.0,0.0,1.17974,1.17974,0.007009999999999961,70.09999999999961,4.736486486486697,0.0001,1,2,baseline,,,,,,,,,,,,,triggered_edge,25,1.17974,,False,25,2015-01-14 13:30:00+00:00,12445,2015-01-14 13:30:00+00:00,True,True,,False,,0.0,,,True,invalidated_before_edge_entry,False,,,,,True,invalidated_before_fill,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2614005.0,-2613930.0,3,12448,False,True,False,,,2.5,1.17909,1.18057,False,,,,,,,,,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,0.0,default,,,,,,,,,,,,,,,,,,2026-07-09.te-v1.2-surgical-disable,LABEL,unknown_cohort,,ENABLED,EURUSD|unknown|choch_short,
L_11,L_11,entry_triggered_edge_25p0_d3,triggered_edge,11,bullish,CHoCH,2015-01-19 09:00:00+00:00,2015-01-20 06:29:00+00:00,Asia,2015-01-20 17:41:00+00:00,LOSS,1.15752,1.15504,1.1624800000000002,0.0024800000000000377,2.0,-1.0241935483870963,-1.0,0.008064516129032136,0.016129032258064273,0.0,0.02419354838709641,-1.0241935483870963,1.15743,1.15769,1.15743,1.15764,17783,18455,672,672.0,False,0.0025800000000000267,108.40336134453672,25.800000000000267,True,3.781512605048053,0.9000000000014552,0.0,0.0,0.0,1.15752,1.15752,0.006359999999999921,63.59999999999921,2.5645161290321874,0.0001,1,2,baseline,,,,,,,,,,,,,triggered_edge,25,1.15752,1.15752,True,25,2015-01-20 06:15:00+00:00,17769,2015-01-20 06:15:00+00:00,True,True,False,False,14,0.0,2015-01-20 06:29:00+00:00,14.0,False,,True,2015-01-20 01:18:00+00:00,17472,,,False,,1288,1289.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2606820.0,-2606760.0,3,17772,False,True,False,,,0.0,1.15696,1.15717,False,,1.604839,-1.040323,-1.0,stop_anchored,1.604839,native_fill_rules,-1.040323,-0.939516,False,,50,fixed_horizon,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,-1.024194,default,,,,,,1.2044704495060492,below,-3.736119015996099,,2.342,88.69440014688833,True,2015-01-20T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,insufficient_data,MORE_DATA_REQUIRED,ENABLED,EURUSD|asia|choch_long,
S_12,S_12,entry_triggered_edge_25p0_d3,triggered_edge,12,bearish,CHoCH,2015-01-20 17:30:00+00:00,,,2015-01-21 14:16:00+00:00,INVALID,1.16256,1.16398,1.15972,0.0014199999999999768,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,19690,,,,,,,,,,0.0,0.0,0.0,1.16256,1.16256,0.008510000000000018,85.10000000000016,5.992957746478983,0.0001,1,2,baseline,,,,,,,,,,,,,triggered_edge,25,1.16256,,False,25,2015-01-21 13:56:00+00:00,19670,2015-01-21 13:56:00+00:00,True,True,,False,,0.0,,,True,invalidated_before_edge_entry,True,2015-01-21 13:54:00+00:00,19668,,,True,invalidated_before_fill,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2606370.0,-2604810.0,3,19673,False,True,False,,,0.0,1.16245,1.16307,False,,,,,,,,,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,0.0,default,,,,,,,,,,,,,,,,,,2026-07-09.te-v1.2-surgical-disable,LABEL,unknown_cohort,,ENABLED,EURUSD|unknown|choch_short,
S_10,S_10,entry_triggered_edge_25p0_d3,triggered_edge,10,bearish,BOS,2015-01-16 14:15:00+00:00,2015-01-21 14:21:00+00:00,New York,2015-01-21 14:35:00+00:00,WIN,1.16375,1.16497,1.16131,0.0012199999999999989,2.0,1.9508196721311475,2.0,0.016393442622950834,0.03278688524590167,0.0,0.0491803278688525,1.9508196721311475,1.16342,1.16377,1.16339,1.1635,19695,19709,14,14.0,False,1.999999999990898e-05,1.7857142857061432,0.1999999999990898,False,1.7857142857061432,0.1999999999990898,0.0,0.0,0.0,1.16375,1.16375,0.017750000000000155,177.50000000000153,14.549180327868992,0.0001,1,2,baseline,,,,,,,,,,,,,triggered_edge,25,1.16375,1.16375,True,25,2015-01-21 14:16:00+00:00,19690,2015-01-21 14:16:00+00:00,True,True,False,False,5,0.0,2015-01-21 14:21:00+00:00,5.0,False,,True,2015-01-19 15:40:00+00:00,16895,,,False,,4325,7206.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2611170.0,-2610765.0,3,19693,False,False,False,,,3.2,1.16324,1.16405,False,,5.942623,-3.47541,-1.0,stop_anchored,5.942623,native_fill_rules,-0.016393,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,1.95082,default,,,,,,1.2039736291129544,below,-4.10587307874637,,2.342,87.1655901923357,True,2015-01-21T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,HIGH,ENABLED,EURUSD|newYork|bos_short,
L_13,L_13,entry_triggered_edge_25p0_d3,triggered_edge,13,bullish,CHoCH,2015-01-21 14:45:00+00:00,,,2015-01-22 13:40:00+00:00,INVALID,1.15525,1.15395,1.1578500000000003,0.0013000000000000789,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,21091,,,,,,,,,,0.0,0.0,0.0,1.15525,1.15525,0.012739999999999974,127.39999999999974,9.799999999999384,0.0001,1,2,baseline,,,,,,,,,,,,,triggered_edge,25,1.15525,,False,25,2015-01-22 13:40:00+00:00,21091,2015-01-22 13:40:00+00:00,True,True,,False,,0.0,,,True,invalidated_before_edge_entry,False,,,,,True,invalidated_before_fill,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2604690.0,-2603535.0,3,21094,False,,False,,,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,0.0,default,,,,,,,,,,,,,,,,,,2026-07-09.te-v1.2-surgical-disable,LABEL,unknown_cohort,,ENABLED,EURUSD|unknown|choch_long,
S_16,S_16,entry_triggered_edge_25p0_d3,triggered_edge,16,bearish,CHoCH,2015-02-03 05:15:00+00:00,2015-02-03 07:15:00+00:00,London,2015-02-03 09:00:00+00:00,WIN,1.13389,1.13561,1.13131,0.0017199999999999438,1.5,1.4651162790697663,1.5,0.011627906976744566,0.02325581395348913,0.0,0.034883720930233696,1.4651162790697663,1.13396,1.13401,1.13382,1.13383,32221,32326,105,105.0,False,0.0012900000000000134,79.62962962963267,12.900000000000134,False,7.407407407401316,1.1999999999989797,0.0,0.0,0.0,1.13389,1.13389,0.0016899999999999693,16.899999999999693,0.982558139534898,0.0001,1,2,baseline,,,,,,,,,,,,,triggered_edge,25,1.13389,1.13389,True,25,2015-02-03 07:11:00+00:00,32217,2015-02-03 07:11:00+00:00,True,True,False,False,4,0.0,2015-02-03 07:15:00+00:00,4.0,False,,True,2015-02-03 06:57:00+00:00,32204,,,False,,119,120.0,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2586000.0,-2585385.0,3,32220,False,True,False,,,0.0,1.13412,1.13475,False,,1.540698,-1.122093,-1.0,stop_anchored,1.540698,native_fill_rules,-0.75,,,,,,False,,,,,,,,,,,,False,,,False,,,,,,False,,,,,,,1.0,1.465116,default,,Bear/Expand,Bear,Expand,Trend,1.1964209725051196,below,-5.228174191409202,7.801704317849438,2.342,59.8475020988292,True,2015-02-03T00:00:00Z,1.0,engine,regime-1.0.0,,2026-07-09.te-v1.2-surgical-disable,LABEL,policy_label,HIGH,ENABLED,EURUSD|london|choch_short,
