session,cohort_key,structure,direction,market_state,eligible,eligibility_source,target_rr,target_source,cohort_base_enabled,config_path
asia,EURUSD|asia|bos_long,BOS,Long,Bear/Chop,NO,state_block,2.0,cohort_target,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|bos_long,BOS,Long,Bear/Compress,NO,state_block,2.0,cohort_target,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|bos_long,BOS,Long,Bear/Expand,YES,cohort_base,1.25,state_override,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|bos_long,BOS,Long,Bull/Chop,NO,state_block,2.0,cohort_target,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|bos_long,BOS,Long,Bull/Compress,NO,state_block,2.0,cohort_target,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|bos_long,BOS,Long,Bull/Expand,YES,cohort_base,0.6,state_override,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|bos_short,BOS,Short,Bear/Chop,YES,cohort_base,1.75,state_override,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|bos_short,BOS,Short,Bear/Compress,YES,cohort_base,0.7,state_override,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|bos_short,BOS,Short,Bear/Expand,YES,cohort_base,0.8,state_override,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|bos_short,BOS,Short,Bull/Chop,NO,state_block,2.0,cohort_target,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|bos_short,BOS,Short,Bull/Compress,YES,cohort_base,1.5,state_override,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|bos_short,BOS,Short,Bull/Expand,YES,cohort_base,0.9,state_override,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|choch_long,CHoCH,Long,Bear/Chop,YES,cohort_base,0.6,state_override,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|choch_long,CHoCH,Long,Bear/Compress,YES,cohort_base,0.8,state_override,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|choch_long,CHoCH,Long,Bear/Expand,NO,state_block,2.0,cohort_target,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|choch_long,CHoCH,Long,Bull/Chop,YES,cohort_base,0.5,state_override,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|choch_long,CHoCH,Long,Bull/Compress,YES,cohort_base,0.7,state_override,True,session_strategy_scenario.cohorts[]
asia,EURUSD|asia|choch_long,CHoCH,Long,Bull/Expand,YES,cohort_base,0.6,state_override,True,session_strategy_scenario.cohorts[]
