time,open,high,low,close,volume
2026-01-01 22:04:00+00:00,1.17387,1.17414,1.17387,1.17414,5.4
2026-01-01 22:05:00+00:00,1.17414,1.17449,1.17414,1.17448,3.42
2026-01-01 22:06:00+00:00,1.17449,1.17454,1.17449,1.17454,2.52
2026-01-01 22:07:00+00:00,1.17455,1.17455,1.17449,1.17449,1.8
2026-01-01 22:08:00+00:00,1.17449,1.17454,1.17449,1.17454,8.64
2026-01-01 22:09:00+00:00,1.17455,1.17455,1.17448,1.17448,4.14
2026-01-01 22:10:00+00:00,1.17448,1.17479,1.17448,1.17477,7.74
2026-01-01 22:11:00+00:00,1.17478,1.17478,1.17475,1.17476,10.8
2026-01-01 22:12:00+00:00,1.17475,1.17475,1.17472,1.17475,6.3
2026-01-01 22:13:00+00:00,1.17473,1.17484,1.17473,1.17483,215.1
2026-01-01 22:14:00+00:00,1.17482,1.17485,1.17481,1.17484,277.2
2026-01-01 22:15:00+00:00,1.17484,1.17485,1.1748,1.1748,14.4
2026-01-01 22:16:00+00:00,1.17484,1.17484,1.17478,1.17478,140.4
2026-01-01 22:17:00+00:00,1.1748,1.17482,1.17478,1.17479,171.0
2026-01-01 22:18:00+00:00,1.17479,1.1748,1.17478,1.1748,6.3
2026-01-01 22:19:00+00:00,1.17479,1.1748,1.17479,1.1748,54.9
2026-01-01 22:20:00+00:00,1.17481,1.17481,1.17476,1.17476,6.3
2026-01-01 22:21:00+00:00,1.17474,1.17475,1.17474,1.17475,1.8
2026-01-01 22:22:00+00:00,1.17473,1.17473,1.17471,1.17471,118.8
2026-01-01 22:23:00+00:00,1.17471,1.17472,1.1747,1.17471,238.5
2026-01-01 22:24:00+00:00,1.17471,1.17471,1.17463,1.17466,226.98
2026-01-01 22:25:00+00:00,1.17463,1.17464,1.17463,1.17463,18.0
2026-01-01 22:26:00+00:00,1.17456,1.1746,1.17453,1.17456,26.1
2026-01-01 22:27:00+00:00,1.17458,1.17458,1.17453,1.17455,19.35
2026-01-01 22:28:00+00:00,1.17453,1.17453,1.17453,1.17453,0.9
2026-01-01 22:29:00+00:00,1.17453,1.17458,1.17453,1.17453,35.1
2026-01-01 22:30:00+00:00,1.17455,1.17459,1.17455,1.17457,18.0
2026-01-01 22:31:00+00:00,1.17459,1.17459,1.17459,1.17459,1.8
2026-01-01 22:32:00+00:00,1.17458,1.17458,1.17458,1.17458,4.5
2026-01-01 22:33:00+00:00,1.17452,1.17459,1.17452,1.17457,9.9
2026-01-01 22:34:00+00:00,1.17454,1.1746,1.17454,1.1746,5.4
2026-01-01 22:35:00+00:00,1.17461,1.17461,1.17457,1.17457,9.0
2026-01-01 22:36:00+00:00,1.1746,1.1746,1.17456,1.17456,18.0
2026-01-01 22:37:00+00:00,1.17455,1.17455,1.17455,1.17455,0.9
2026-01-01 22:38:00+00:00,1.1746,1.1746,1.1746,1.1746,0.9
2026-01-01 22:39:00+00:00,1.17458,1.17471,1.17458,1.17471,6.3
2026-01-01 22:40:00+00:00,1.1747,1.17472,1.17464,1.17468,15.12
2026-01-01 22:41:00+00:00,1.17469,1.17472,1.17469,1.17469,2.7
