         3286824620 function calls (3286791354 primitive calls) in 583.457 seconds

   Ordered by: cumulative time
   List reduced from 952 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.017    1.017  583.462  583.462 /Users/jack/Documents/Dev Projects/Lux-OB-Backtester/scripts/run_backtest.py:2529(execute_scenario_job)
        1  207.783  207.783  581.470  581.470 /Users/jack/Documents/Dev Projects/Lux-OB-Backtester/strategy_core/execution.py:2121(simulate_trades)
1907495402  129.593    0.000  129.593    0.000 {method 'get' of 'dict' objects}
129374023   47.786    0.000  111.178    0.000 /Users/jack/Documents/Dev Projects/Lux-OB-Backtester/strategy_core/execution.py:998(_triggered_edge_touched)
133068546   55.010    0.000   87.871    0.000 /Users/jack/Documents/Dev Projects/Lux-OB-Backtester/strategy_core/execution.py:1255(_update_pending_metrics)
129505521   27.271    0.000   37.993    0.000 /Users/jack/Documents/Dev Projects/Lux-OB-Backtester/strategy_core/execution.py:992(_penetration_price)
395721513   34.242    0.000   34.242    0.000 {built-in method builtins.max}
129379463   18.184    0.000   18.184    0.000 /Users/jack/Documents/Dev Projects/Lux-OB-Backtester/strategy_core/execution.py:971(_ob_depth)
        2    0.000    0.000   16.152    8.076 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/frame.py:2125(to_dict)
        2    9.702    4.851   16.152    8.076 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/methods/to_dict.py:97(to_dict)
  4267429    2.323    0.000   13.480    0.000 /Users/jack/Documents/Dev Projects/Lux-OB-Backtester/strategy_core/news.py:24(_news_blackout_match)
129371998   10.854    0.000   10.854    0.000 /Users/jack/Documents/Dev Projects/Lux-OB-Backtester/strategy_core/execution.py:1661(_is_filled)
133152415    9.581    0.000    9.581    0.000 {method 'append' of 'list' objects}
  4332429    0.942    0.000    9.440    0.000 /Users/jack/Documents/Dev Projects/Lux-OB-Backtester/strategy_core/news.py:20(_time_cache_key)
133133645    9.355    0.000    9.355    0.000 {method 'setdefault' of 'dict' objects}
  4332483    8.498    0.000    8.498    0.000 /Users/jack/Documents/Dev Projects/Lux-OB-Backtester/strategy_core/news.py:13(_utc_naive_timestamp)
  8585092    2.401    0.000    3.145    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:186(maybe_box_native)
