time,currency,impact,event,window_start,window_end,source,country
2020-01-03T15:00:00,USD,high,ISM Manufacturing PMI,2020-01-03T14:57:00,2020-01-03T15:03:00,forexfactory,US
2020-01-03T19:00:00,USD,high,FOMC Meeting Minutes,2020-01-03T18:57:00,2020-01-03T19:03:00,forexfactory,US
2020-01-07T15:00:00,USD,high,ISM Services PMI,2020-01-07T14:57:00,2020-01-07T15:03:00,forexfactory,US
2020-01-08T13:15:00,USD,high,ADP Non-Farm Employment Change,2020-01-08T13:12:00,2020-01-08T13:18:00,forexfactory,US
2020-01-08T16:26:00,USD,high,President Trump Speaks,2020-01-08T16:23:00,2020-01-08T16:29:00,forexfactory,US
2020-01-10T13:30:00,USD,high,Average Hourly Earnings m/m,2020-01-10T13:27:00,2020-01-10T13:33:00,forexfactory,US
2020-01-10T13:30:00,USD,high,Non-Farm Employment Change,2020-01-10T13:27:00,2020-01-10T13:33:00,forexfactory,US
2020-01-10T13:30:00,USD,high,Unemployment Rate,2020-01-10T13:27:00,2020-01-10T13:33:00,forexfactory,US
2020-01-14T13:30:00,USD,high,Core CPI m/m,2020-01-14T13:27:00,2020-01-14T13:33:00,forexfactory,US
2020-01-14T13:30:00,USD,high,CPI m/m,2020-01-14T13:27:00,2020-01-14T13:33:00,forexfactory,US
2020-01-14T13:30:00,USD,high,CPI y/y,2020-01-14T13:27:00,2020-01-14T13:33:00,forexfactory,US
2020-01-16T12:30:00,EUR,high,ECB Monetary Policy Meeting Accounts,2020-01-16T12:27:00,2020-01-16T12:33:00,forexfactory,EZ
2020-01-16T13:30:00,USD,high,Core Retail Sales m/m,2020-01-16T13:27:00,2020-01-16T13:33:00,forexfactory,US
2020-01-16T13:30:00,USD,high,Retail Sales m/m,2020-01-16T13:27:00,2020-01-16T13:33:00,forexfactory,US
2020-01-16T18:00:00,EUR,high,ECB President Lagarde Speaks,2020-01-16T17:57:00,2020-01-16T18:03:00,forexfactory,EZ
2020-01-23T12:45:00,EUR,high,Main Refinancing Rate,2020-01-23T12:42:00,2020-01-23T12:48:00,forexfactory,EZ
2020-01-23T12:45:00,EUR,high,Monetary Policy Statement,2020-01-23T12:42:00,2020-01-23T12:48:00,forexfactory,EZ
