ob_id,direction,structure_tag,origin_time,detection_time,pivot_time,pivot_index,origin_index,detection_index,top,bottom,break_level,swing_length,ob_filter,origin_open,origin_high,origin_low,origin_close,parsed_high,parsed_low,width_pips,ob_origin_news_window,ob_detection_news_window,ob_origin_news_event,ob_detection_news_event,ob_origin_news_currency,ob_detection_news_currency,ob_origin_news_impact,ob_detection_news_impact,ob_origin_news_event_time,ob_detection_news_event_time,ob_origin_news_window_start,ob_origin_news_window_end,ob_detection_news_window_start,ob_detection_news_window_end,ob_origin_minutes_from_news,ob_detection_minutes_from_news,width
1365,bearish,BOS,2022-05-10 05:30:00+00:00,2022-05-10 09:45:00+00:00,2022-05-09 18:30:00+00:00,183187,183231,183248,1.05852,1.05762,1.05506,50,Atr,1.05788,1.05852,1.05762,1.05821,1.05852,1.05762,8.999999999999009,False,False,CPI m/m,CPI m/m,USD,USD,high,high,2022-05-11T12:30:00,2022-05-11T12:30:00,2022-05-11T12:27:00,2022-05-11T12:33:00,2022-05-11T12:27:00,2022-05-11T12:33:00,-1860.0,-1605.0,0.0008999999999999009
423,bearish,BOS,2017-03-29 19:45:00+00:00,2017-03-30 07:45:00+00:00,2017-03-29 12:00:00+00:00,55898,55929,55977,1.07733,1.0766,1.07398,50,Atr,1.07673,1.07733,1.0766,1.07715,1.07733,1.0766,7.299999999998974,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-1454115.0,-1453395.0,0.0007299999999998974
539,bearish,BOS,2017-11-17 02:15:00+00:00,2017-11-19 23:00:00+00:00,2017-11-16 11:30:00+00:00,71828,71887,71970,1.18217,1.18113,1.17569,50,Atr,1.18114,1.18217,1.18113,1.18183,1.18217,1.18113,10.399999999999299,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-1119645.0,-1115520.0,0.0010399999999999299
30,bearish,CHoCH,2015-02-26 10:00:00+00:00,2015-02-26 12:15:00+00:00,2015-02-25 13:00:00+00:00,3711,3795,3804,1.13796,1.13659,1.13358,50,Atr,1.13729,1.13796,1.13659,1.13671,1.13796,1.13659,13.700000000000934,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2551980.0,-2551845.0,0.0013700000000000934
1929,bullish,BOS,2025-06-27 18:30:00+00:00,2025-06-30 15:45:00+00:00,2025-06-27 13:00:00+00:00,261478,261500,261585,1.16944,1.16879,1.17539,50,Atr,1.16944,1.16944,1.16879,1.1693,1.16944,1.16879,6.500000000000394,False,False,Core PCE Price Index m/m,Fed Chairman Powell Speaks,USD,USD,high,high,2025-06-27T12:30:00,2025-07-01T13:30:00,2025-06-27T12:27:00,2025-06-27T12:33:00,2025-07-01T13:27:00,2025-07-01T13:33:00,360.0,-1305.0,0.0006500000000000394
1748,bearish,CHoCH,2024-06-19 14:30:00+00:00,2024-06-20 02:30:00+00:00,2024-06-19 13:30:00+00:00,236002,236006,236054,1.07507,1.07466,1.07408,50,Atr,1.07496,1.07507,1.07466,1.07471,1.07507,1.07466,4.100000000000215,False,False,Unemployment Claims,Unemployment Claims,USD,USD,high,high,2024-06-20T12:30:00,2024-06-20T12:30:00,2024-06-20T12:27:00,2024-06-20T12:33:00,2024-06-20T12:27:00,2024-06-20T12:33:00,-1320.0,-600.0,0.00041000000000002146
110,bullish,CHoCH,2015-07-30 16:15:00+00:00,2015-07-31 13:00:00+00:00,2015-07-29 01:30:00+00:00,14234,14389,14472,1.09119,1.08933,1.1084,50,Atr,1.09092,1.09119,1.08933,1.08985,1.09119,1.08933,18.60000000000195,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2329845.0,-2328600.0,0.0018600000000001948
695,bearish,BOS,2018-09-26 17:45:00+00:00,2018-09-27 05:00:00+00:00,2018-09-26 13:30:00+00:00,93186,93203,93248,1.17688,1.17629,1.17259,50,Atr,1.1763,1.17688,1.17629,1.1765,1.17688,1.17629,5.899999999998684,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-667995.0,-667320.0,0.0005899999999998684
600,bearish,BOS,2018-04-03 07:15:00+00:00,2018-04-03 13:00:00+00:00,2018-04-02 15:30:00+00:00,81002,81065,81088,1.23352,1.23281,1.2282,50,Atr,1.23302,1.23352,1.23281,1.23307,1.23352,1.23281,7.099999999999884,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-922065.0,-921720.0,0.0007099999999999884
52,bearish,BOS,2015-04-10 14:45:00+00:00,2015-04-13 07:45:00+00:00,2015-04-10 12:00:00+00:00,6784,6795,6863,1.06352,1.06161,1.05679,50,Atr,1.06205,1.06352,1.06161,1.06239,1.06352,1.06161,19.100000000000783,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2489775.0,-2485875.0,0.0019100000000000783
584,bearish,CHoCH,2018-02-27 08:00:00+00:00,2018-02-27 14:45:00+00:00,2018-02-26 15:45:00+00:00,78599,78664,78691,1.23462,1.23351,1.22776,50,Atr,1.23405,1.23462,1.23351,1.23385,1.23462,1.23351,11.099999999999444,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-972420.0,-972015.0,0.0011099999999999444
1494,bearish,CHoCH,2023-01-27 00:45:00+00:00,2023-01-27 15:45:00+00:00,2023-01-26 16:15:00+00:00,201222,201256,201316,1.09001,1.08935,1.08505,50,Atr,1.08989,1.09001,1.08935,1.08964,1.09001,1.08935,6.599999999998829,False,False,Advance GDP q/q,Core PCE Price Index m/m,USD,USD,high,high,2023-01-26T13:30:00,2023-01-27T13:30:00,2023-01-26T13:27:00,2023-01-26T13:33:00,2023-01-27T13:27:00,2023-01-27T13:33:00,675.0,135.0,0.0006599999999998829
1963,bullish,CHoCH,2025-09-11 09:45:00+00:00,2025-09-11 13:30:00+00:00,2025-09-10 14:45:00+00:00,266573,266649,266664,1.16868,1.16772,1.17306,50,Atr,1.16815,1.16868,1.16772,1.16858,1.16868,1.16772,9.599999999998499,False,False,Monetary Policy Statement,ECB Press Conference,EUR,EUR,high,high,2025-09-11T12:15:00,2025-09-11T12:45:00,2025-09-11T12:12:00,2025-09-11T12:18:00,2025-09-11T12:42:00,2025-09-11T12:48:00,-150.0,45.0,0.0009599999999998499
1548,bearish,BOS,2023-05-17 17:30:00+00:00,2023-05-18 09:15:00+00:00,2023-05-17 14:00:00+00:00,208801,208815,208878,1.0849,1.08425,1.08102,50,Atr,1.08441,1.0849,1.08425,1.08429,1.0849,1.08425,6.500000000000394,False,False,Unemployment Claims,Unemployment Claims,USD,USD,high,high,2023-05-18T12:30:00,2023-05-18T12:30:00,2023-05-18T12:27:00,2023-05-18T12:33:00,2023-05-18T12:27:00,2023-05-18T12:33:00,-1140.0,-195.0,0.0006500000000000394
189,bearish,BOS,2015-12-30 20:45:00+00:00,2015-12-31 11:45:00+00:00,2015-12-30 17:00:00+00:00,24803,24818,24878,1.09373,1.09304,1.0902,50,Atr,1.09321,1.09373,1.09304,1.09307,1.09373,1.09304,6.900000000000794,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-2109255.0,-2108355.0,0.0006900000000000794
276,bullish,CHoCH,2016-06-17 07:00:00+00:00,2016-06-17 13:30:00+00:00,2016-06-17 00:00:00+00:00,36356,36384,36410,1.12367,1.12231,1.12717,50,Atr,1.12365,1.12367,1.12231,1.12299,1.12367,1.12231,13.600000000000279,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-1865280.0,-1864890.0,0.0013600000000000279
1656,bullish,BOS,2023-12-25 07:15:00+00:00,2023-12-26 19:30:00+00:00,2023-12-22 15:00:00+00:00,223873,223933,224022,1.1005,1.09974,1.10401,50,Atr,1.10006,1.1005,1.09974,1.10009,1.1005,1.09974,7.600000000000939,False,False,Revised UoM Consumer Sentiment,Revised UoM Consumer Sentiment,USD,USD,high,high,2023-12-22T15:00:00,2023-12-22T15:00:00,2023-12-22T14:57:00,2023-12-22T15:03:00,2023-12-22T14:57:00,2023-12-22T15:03:00,3855.0,6030.0,0.0007600000000000939
439,bearish,CHoCH,2017-04-27 02:30:00+00:00,2017-04-27 13:30:00+00:00,2017-04-26 15:30:00+00:00,57832,57876,57920,1.09211,1.0912,1.08557,50,Atr,1.09154,1.09211,1.0912,1.09128,1.09211,1.0912,9.099999999999664,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-1413390.0,-1412730.0,0.0009099999999999664
573,bearish,CHoCH,2018-02-05 09:15:00+00:00,2018-02-05 14:00:00+00:00,2018-02-04 23:00:00+00:00,77092,77133,77152,1.24748,1.24656,1.24243,50,Atr,1.24738,1.24748,1.24656,1.24696,1.24748,1.24656,9.200000000000319,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-1004025.0,-1003740.0,0.0009200000000000319
1085,bearish,CHoCH,2020-10-06 03:30:00+00:00,2020-10-06 08:15:00+00:00,2020-10-05 18:30:00+00:00,143501,143537,143556,1.17987,1.179,1.17715,50,Atr,1.17904,1.17987,1.179,1.17924,1.17987,1.179,8.699999999999264,False,False,Fed Chairman Powell Speaks,Fed Chairman Powell Speaks,USD,USD,high,high,2020-10-06T14:40:00,2020-10-06T14:40:00,2020-10-06T14:37:00,2020-10-06T14:43:00,2020-10-06T14:37:00,2020-10-06T14:43:00,-670.0,-385.0,0.0008699999999999264
1698,bullish,CHoCH,2024-03-12 14:00:00+00:00,2024-03-13 15:15:00+00:00,2024-03-12 12:30:00+00:00,229182,229188,229289,1.09142,1.09063,1.09438,50,Atr,1.09109,1.09142,1.09063,1.09092,1.09142,1.09063,7.900000000000684,False,False,CPI m/m,30-y Bond Auction,USD,USD,high,high,2024-03-12T12:30:00,2024-03-13T17:01:00,2024-03-12T12:27:00,2024-03-12T12:33:00,2024-03-13T16:58:00,2024-03-13T17:04:00,90.0,-106.0,0.0007900000000000684
1177,bearish,BOS,2021-05-03 15:00:00+00:00,2021-05-04 08:45:00+00:00,2021-05-03 06:00:00+00:00,157697,157733,157804,1.2076,1.20668,1.2013,50,Atr,1.20733,1.2076,1.20668,1.20668,1.2076,1.20668,9.200000000000319,False,False,Fed Chairman Powell Speaks,Fed Chairman Powell Speaks,USD,USD,high,high,2021-05-03T18:20:00,2021-05-03T18:20:00,2021-05-03T18:17:00,2021-05-03T18:23:00,2021-05-03T18:17:00,2021-05-03T18:23:00,-200.0,865.0,0.0009200000000000319
650,bullish,CHoCH,2018-07-05 05:00:00+00:00,2018-07-05 05:30:00+00:00,2018-07-04 16:45:00+00:00,87439,87488,87490,1.16571,1.165,1.16749,50,Atr,1.16568,1.16571,1.165,1.1653,1.16571,1.165,7.099999999999884,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-788280.0,-788250.0,0.0007099999999999884
1733,bullish,CHoCH,2024-05-21 02:15:00+00:00,2024-05-21 09:00:00+00:00,2024-05-20 17:15:00+00:00,233905,233941,233968,1.08543,1.08509,1.08706,50,Atr,1.08518,1.08543,1.08509,1.08531,1.08543,1.08509,3.399999999997849,False,False,FOMC Meeting Minutes,FOMC Meeting Minutes,USD,USD,high,high,2024-05-22T18:00:00,2024-05-22T18:00:00,2024-05-22T17:57:00,2024-05-22T18:03:00,2024-05-22T17:57:00,2024-05-22T18:03:00,-2385.0,-1980.0,0.0003399999999997849
1316,bearish,BOS,2022-01-26 02:30:00+00:00,2022-01-26 19:30:00+00:00,2022-01-25 14:30:00+00:00,176063,176111,176179,1.13107,1.1307,1.12631,50,Atr,1.1307,1.13107,1.1307,1.13104,1.13107,1.1307,3.6999999999998145,False,True,FOMC Statement,FOMC Press Conference,USD,USD,high,high,2022-01-26T19:00:00,2022-01-26T19:30:00,2022-01-26T18:57:00,2022-01-26T19:03:00,2022-01-26T19:27:00,2022-01-26T19:33:00,-990.0,0.0,0.00036999999999998145
568,bullish,CHoCH,2018-01-22 17:15:00+00:00,2018-01-23 00:30:00+00:00,2018-01-22 10:30:00+00:00,76178,76205,76234,1.22367,1.2224,1.2267,50,Atr,1.22321,1.22367,1.2224,1.22355,1.22367,1.2224,12.700000000001044,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-1023705.0,-1023270.0,0.0012700000000001044
1747,bullish,CHoCH,2024-06-18 11:45:00+00:00,2024-06-18 13:45:00+00:00,2024-06-17 23:45:00+00:00,235851,235899,235907,1.07172,1.07099,1.0741,50,Atr,1.07113,1.07172,1.07099,1.07162,1.07172,1.07099,7.299999999998974,False,False,Retail Sales m/m,Retail Sales m/m,USD,USD,high,high,2024-06-18T12:30:00,2024-06-18T12:30:00,2024-06-18T12:27:00,2024-06-18T12:33:00,2024-06-18T12:27:00,2024-06-18T12:33:00,-45.0,75.0,0.0007299999999998974
1795,bullish,CHoCH,2024-09-17 17:00:00+00:00,2024-09-18 18:00:00+00:00,2024-09-17 08:45:00+00:00,242127,242160,242260,1.11208,1.11109,1.11461,50,Atr,1.11192,1.11208,1.11109,1.11144,1.11208,1.11109,9.900000000000464,False,True,Retail Sales m/m,FOMC Economic Projections,USD,USD,high,high,2024-09-17T12:30:00,2024-09-18T18:00:00,2024-09-17T12:27:00,2024-09-17T12:33:00,2024-09-18T17:57:00,2024-09-18T18:03:00,270.0,0.0,0.0009900000000000464
1054,bearish,BOS,2020-08-06 17:45:00+00:00,2020-08-07 09:30:00+00:00,2020-08-06 14:30:00+00:00,139453,139466,139529,1.18935,1.18774,1.18179,50,Atr,1.18817,1.18935,1.18774,1.18786,1.18935,1.18774,16.099999999998893,False,False,Non-Farm Employment Change,Non-Farm Employment Change,USD,USD,high,high,2020-08-07T12:30:00,2020-08-07T12:30:00,2020-08-07T12:27:00,2020-08-07T12:33:00,2020-08-07T12:27:00,2020-08-07T12:33:00,-1125.0,-180.0,0.0016099999999998893
746,bearish,BOS,2019-01-15 01:30:00+00:00,2019-01-15 09:00:00+00:00,2019-01-14 10:00:00+00:00,100505,100567,100597,1.14896,1.14811,1.14506,50,Atr,1.14826,1.14896,1.14811,1.14892,1.14896,1.14811,8.500000000000174,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-509130.0,-508680.0,0.0008500000000000174
1348,bearish,BOS,2022-04-04 01:30:00+00:00,2022-04-04 08:00:00+00:00,2022-04-01 14:30:00+00:00,180675,180719,180745,1.10544,1.10488,1.10279,50,Atr,1.10488,1.10544,1.10488,1.10523,1.10544,1.10488,5.599999999998939,False,False,ISM Services PMI,ISM Services PMI,USD,USD,high,high,2022-04-05T14:00:00,2022-04-05T14:00:00,2022-04-05T13:57:00,2022-04-05T14:03:00,2022-04-05T13:57:00,2022-04-05T14:03:00,-2190.0,-1800.0,0.0005599999999998939
1461,bearish,BOS,2022-11-29 04:45:00+00:00,2022-11-29 19:45:00+00:00,2022-11-28 20:15:00+00:00,197110,197144,197204,1.03942,1.03831,1.033,50,Atr,1.03834,1.03942,1.03831,1.03928,1.03942,1.03831,11.099999999999444,False,False,CB Consumer Confidence,CB Consumer Confidence,USD,USD,high,high,2022-11-29T15:00:00,2022-11-29T15:00:00,2022-11-29T14:57:00,2022-11-29T15:03:00,2022-11-29T14:57:00,2022-11-29T15:03:00,-615.0,285.0,0.0011099999999999444
248,bullish,BOS,2016-04-19 00:15:00+00:00,2016-04-19 06:15:00+00:00,2016-04-18 14:45:00+00:00,32190,32228,32252,1.13081,1.13034,1.13321,50,Atr,1.13075,1.13081,1.13034,1.13036,1.13081,1.13034,4.700000000001925,False,False,ISM Manufacturing PMI,ISM Manufacturing PMI,USD,USD,high,high,2020-01-03T15:00:00,2020-01-03T15:00:00,2020-01-03T14:57:00,2020-01-03T15:03:00,2020-01-03T14:57:00,2020-01-03T15:03:00,-1950645.0,-1950285.0,0.0004700000000001925
2024,bearish,CHoCH,2026-02-11 10:45:00+00:00,2026-02-11 13:30:00+00:00,2026-02-11 00:00:00+00:00,276914,276957,276968,1.19272,1.19208,1.18862,50,Atr,1.19233,1.19272,1.19208,1.19215,1.19272,1.19208,6.399999999999739,False,True,Average Hourly Earnings m/m,Average Hourly Earnings m/m,USD,USD,high,high,2026-02-11T13:30:00,2026-02-11T13:30:00,2026-02-11T13:27:00,2026-02-11T13:33:00,2026-02-11T13:27:00,2026-02-11T13:33:00,-165.0,0.0,0.0006399999999999739
